BEZEICHNUNG_OFFIZIELL;geopos
Ostermundigen;46.956790007,7.48149005516
Montana, Résidence Forêt;46.3151210783,7.48215484531
Montana, Primerose;46.3089590817,7.48261797604
Moosseedorf;47.016140028,7.48484996763
22 PU Spring, Schwenden;46.5699014509,7.48597049469
13 Extern Funi Montana;46.3130043575,7.48933304995
Belp Steinbach;46.8951599617,7.49309998695
Oberdorf SO;47.2359800308,7.4937699703
Toffen;46.8584700311,7.49603001303
Lüsslingen;47.1924999829,7.49659999172
Grauholztunnel;47.0073060448,7.49675394879
Tankstelle Garage Laufen;47.4152067891,7.5006697413
24 PU Steiner Laufen;47.4156653992,7.50084252803
24 Garage Kleinbus Laufen;47.4157463325,7.50086912282
Kaufdorf;46.8378799492,7.5018600376
Montana, Barzettes Clairière;46.3240523919,7.50417079557
Steinbruch (Agl);47.4256899902,7.51117003511
Langendorf;47.2179399698,7.51302001728
Burgistein;46.7894299537,7.52121998189
Oberhard BE;47.0342299719,7.52591997399
Bätterkinden;47.1300200037,7.53439998008
Solothurn RM (Abzw);47.2034200108,7.53873001277
Kernenried (NBS);47.0688004668,7.54210715531
Adelboden Eselmoos (Rehärtli);46.4821453831,7.54615340805
St-Louis (Haut-Rhin);47.5893628755,7.55594216413
Bendolla (Les Crêts);46.180790501,7.55679155321
Basel, Morgartenrg. (Vzw West);47.5571378964,7.56517180578
Worb SBB;46.9152199783,7.56483999182
Tankstelle Garage Worb;46.9239368126,7.56630587629
Schützenmatttunnel;47.5496515492,7.56840873671
Kannenfeldtunnel;47.5614142528,7.56939396907
Kirchberg BE Emmenquerung West;47.0794122109,7.57087236153
Uetendorf;46.7749199795,7.57283994682
Rüdtligen-Alchenflüh;47.0845985802,7.57408511636
Basel, Lothringerplatz (Vzw);47.5709857534,7.57531796878
Sandacher (Spw);47.0598800126,7.57479006048
Essence Combustia Grimentz;46.1796953178,7.57635066767
13 EP TSAR Grimentz;46.177724983,7.57674689771
Tägertschi;46.8822800235,7.58084005588
Essence TSAR Vissoie;46.2155861744,7.58544659444
Basel, Hauptwerkst. BVB (Vzw);47.5741151016,7.59023779056
Reinach BL Süd (Wds);47.4846330615,7.59216008959
Basel Satellit;47.5674410325,7.59755421531
Basel Bad Rbf Gr L;47.5829584729,7.60164137879
Basel SBB Nordost (Abzw);47.5448900258,7.60333006831
Basel SBB Dreispitz;47.526070047,7.60721996268
Weil am Rhein (D);47.594019771,7.60854889195
Ruchfeld (Vzw);47.5343339189,7.61097520082
Dornach;47.4896300245,7.61103006081
Lädeli;46.7815799584,7.60903003244
Recherswil (NBS);47.1550070169,7.61055069629
Ruchfeld;47.53392997,7.6120899766
Subingen;47.1935199913,7.61123999812
Gellert Nord (Abzw);47.5568200001,7.61527995979
Basel, Schänzli;47.5401542323,7.62188514691
Leukerbad, Schule-Sportarena;46.3808420662,7.62564075813
80 Extern LLB Leukerbad_85;46.3798605404,7.62624842195
